fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2026-06-08,Alfajor Felices Las Vacas de chocolate 60 g.,Alfajor Felices Las Vacas de chocolate 60 g.,1699.0,,,,,
2026-06-08,Alfajor Maní Felices Las Vacas 60g,Alfajor Felices Las Vacas de maní 60 g.,2029.0,,,,,
2026-06-08,Alfajor de maicena Felices Las Vacas 60 grs,Alfajor de maicena Felices Las Vacas 60 grs,1390.0,,,,,
2026-06-08,Bocadito de coco y datiles Felices las Vacas 22 grs,Bocadito de coco y datiles Felices las Vacas 22 grs,1320.0,,,,,
2026-06-08,Bocadito de maní y datiles Felices las Vacas 22 grs,Bocadito de maní y datiles Felices las Vacas 22 grs,1320.0,,,,,
2026-06-08,Bombón Felices Las Vacas relleno 48 g.,Bombón Felices Las Vacas relleno 48 g.,1645.0,,,,,
2026-06-08,Cremoso Base De Almendras Felices Las Vacas 500 Gr Felices Las Vacas,Cremoso Base De Almendras Felices Las Vacas 500 Gr Felices Las Vacas,,,,,8600.0,
2026-06-08,Cremoso Vegano Felices Las Vacas 500g,Cremoso vegano Felices Las Vacas 500 g.,7849.0,7190.0,7849.0,,,
2026-06-08,Dulce de Almendras Colonial Felices Las Vacas 250g,Dulce de almendras colonial Felices las vacas 250 g.,3269.0,2469.0,,,,
2026-06-08,Fetas Veganas Sabor Danbo Felices Las Vacas 200g,Fetas veganas Felices Las Vacas sabor danbo 200 g.,2885.0,,2885.0,,,
2026-06-08,Hummus Garbanzo Felices Las Vacas 220-230g,Hummus De Garbanzo Vegano Felices Las Vacas 220grs,3360.0,2290.0,,,,
2026-06-08,Medallón Arveja Chickenvil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas chickenvil party 2 uni,3305.0,,,,,
2026-06-08,Medallón Arveja Karnevil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas karnevil party 2 uni,2725.0,,,,,
2026-06-08,Medallón Soja Big Classic Felices Las Vacas 2uni,Medallón de soja Felices las Vacas big classic 2 uni,3379.0,,,,,
2026-06-08,Muzzalmendra Vegana Felices Las Vacas 500g,Muzzalmendra 500 Gr Felices Las Vacas,7510.0,,7511.0,,8200.0,
2026-06-08,Pasta Vegana Sabor Provolone Felices Las Vacas 250g,Queso Vegano FELICES LAS VACAS Provolone 250 Gr,,,5939.0,,,
2026-06-08,Pepas de membirllo Felices las Vacas 300 grs,Pepas de membirllo Felices las Vacas 300 grs,3099.0,,,,,
2026-06-08,Postre Plant Based Chocolate Felices Las Vacas 125g,Postre plant ba de chocolate Felices las Vacas 125 g.,1850.0,1790.0,,,,
2026-06-08,Postre Plant Based Dulce de Leche Felices Las Vacas 125g,Postre plant bas de dulce de leche Felices las Vacas 125 g.,1779.0,1569.0,,,,
2026-06-08,Producto Untable A Base De Almendras Felices Las Vacas Clásico 200grs,Producto Untable A Base De Almendras Felices Las Vacas Clásico 200grs,,2590.0,,,,
2026-06-08,Producto Untable A Base De Almendras Felices Las Vacas Sabor Cheddar 200grs,Producto Untable A Base De Almendras Felices Las Vacas Sabor Cheddar 200grs,,2590.0,,,,
2026-06-08,Producto Untable A Base De Almendras Felices Las Vacas Sabor Jamón Serrano 200grs,Producto Untable A Base De Almendras Felices Las Vacas Sabor Jamón Serrano 200grs,,2290.0,,,,
2026-06-08,Queso Almendra Oliva Muzzoliva Felices Las Vacas 500g,Queso Vegano Muzzoliva Felices Las Vacas 500g,8390.0,,9349.0,,,
2026-06-08,Queso En Hebras Sabor Mix Vegano Felices Las Vacas 150g,Queso En Hebras Sabor Mix Vegano Felices Las Vacas 150g,,,,,4200.0,
2026-06-08,Queso Vegano Cheddar Fetas Felices Las Vacas 150g,Queso Vegano Cheddar En Fetas Felices Las Vacas 150g,2669.0,,2885.0,,,
2026-06-08,Queso Vegano Hebras Mix de Quesos Felices Las Vacas 150g,Queso Vegano En Hebras Mix De Quesos Felices Las Vacas 150g,,,3925.0,,,
2026-06-08,Queso Vegano Hebras Reggianito Felices Las Vacas 150g,Queso Vegano En Hebras Reggianito Felices Las Vacas 150g,,,3925.0,,,
2026-06-08,Untable Almendras Clásico Felices Las Vacas 200g,Untabla clásico cremoso Felices las vacas 200 g.,3050.0,,,,,
2026-06-08,Untable Almendras Finas Hierbas Felices Las Vacas 200g,Alim Base Alm Unt Felices Las Vacas F.hierbas 200g,3365.0,,,,2600.0,
2026-06-08,Yogur Almendras Neutro Felices Las Vacas 170g,Jogurtti neutro base de almendras 170 g.,2249.0,,,,,
2026-06-08,Yogur Almendras Vainilla Felices Las Vacas 170g,Jogurtti vainilla base de almendras Felices las vacas 170 g.,2100.0,,,,,
2026-06-08,Yogur Plant Based Mango Maracuyá Felices Las Vacas 125g,Yogur plant bas colchón mango y maracuya Felices las Vacas 125 g.,2050.0,,,,,
2026-06-08,Yogur plant bas colchón de frutos de bosque Felices las Vacas 125 g.,Yogur plant bas colchón de frutos de bosque Felices las Vacas 125 g.,1949.0,,,,,
2026-06-08,Yogurt Sabor Natural Vegano Felices Las Vacas 170g,Yogurt Sabor Natural Vegano Felices Las Vacas 170g,,,,,2300.0,
