fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2026-02-20,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,,,5685.0,,,
2026-02-20,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,,4919.0,,,
2026-02-20,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,1267.5,
2026-02-20,Barra proteica Crunchy chocolemon notprotein 35 grs,Barra proteica Crunchy chocolemon notprotein 35 grs,1750.0,,,,,
2026-02-20,Barra proteica Not Protein almond salted 45 grs,Barra proteica Not Protein almond salted 45 grs,1406.67,,,,,
2026-02-20,Barra proteica Not Protein barry pie 45 grs,Barra proteica Not Protein barry pie 45 grs,1406.67,,,,,
2026-02-20,Barra proteica Not Protein chocolate 45 grs,Barra proteica Not Protein chocolate 45 grs,1406.67,,,,,
2026-02-20,Barra proteica NotProtein crunchy chocomani 35 grs,Barra proteica NotProtein crunchy chocomani 35 grs,1810.0,,,,,
2026-02-20,Barra proteica Notprotein crunchy netflix 35 grs,Barra proteica Notprotein crunchy netflix 35 grs,1810.0,,,,,
2026-02-20,Leche plant based Not Milk original tetra 1lt,Leche plant based Not Milk original tetra 1lt,3701.75,,,,,
2026-02-20,Medallon A Base De Vegetal X4 Not Burger 320g,Medallones Notco Not Burger Premium X4 320grs,8600.0,10265.0,,,10150.0,6110.0
2026-02-20,Medallon Not chicken burger flow pack x2 80 g.,Medallon Not chicken burger flow pack x2 80 g.,4455.0,4683.0,,,4850.0,4600.0
2026-02-20,Medallon NotBurger Quick NotCo 130 Gr.,Medallon NotBurger Quick NotCo 130 Gr.,,,,2122.25,,
2026-02-20,Medallon Notchicken Burger 160g (2u),Medallon Notchicken Burger 160g (2u),,,4454.0,,,
2026-02-20,Medallon Notchicken Burger Crispy 200g (2u),Medallon Notchicken Burger Crispy 200g (2u),,,5775.0,,,
2026-02-20,Medallones Notco Not Burger X2 160grs,Medallones Notco Not Burger X2 160grs,3262.35,5693.0,,,6100.0,3835.0
2026-02-20,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,,6765.0,,,,
2026-02-20,Medallones Notco Not Chicken Rellenos Champis X2 120grs,Medallones Notco Not Chicken Rellenos Champis X2 120grs,,7981.0,,,,
2026-02-20,Medallón NotBurger Parrillera NotCo 220 Gr.,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,4290.0,,
2026-02-20,Medallón Notburger Notco 160g (2u),Medallón Notburger Notco 160g (2u),,,5285.0,,,
2026-02-20,Medallón Notburger Notco 320g (4u),Medallón Notburger Notco 320g (4u),,,9539.0,,,
2026-02-20,Medallón Notburger Parrillera Notco 220g (2u),Medallón Notburger Parrillera Notco 220g (2u),,,6639.0,,,
2026-02-20,Medallón Notburger Quick Notco 130g (2u),Medallón Notburger Quick Notco 130g (2u),,,3274.0,,,
2026-02-20,Medallón Xl Notburger Notco 240g (2u),Medallón Xl Notburger Notco 240g (2u),,,7895.0,,,
2026-02-20,Mila con provenzal Notmila 110 grs,Mila con provenzal Notmila 110 grs,4239.0,,,,,
2026-02-20,Not Burger Parrillera 220g,Medallón Not burger parrillera 2 uni,6609.0,,,,7200.0,4420.0
2026-02-20,Not Burger XL 2x120g (240g),Medallones Notco Not Burger Xl Premium X2 240grs,7379.0,8484.0,,,8750.0,5557.5
