fecha,producto,producto_representativo,carrefour,coope,coto,dia,disco,vea,marca
2025-07-13,Alfajor Chocolate Blanco Felices Las Vacas 60g,Alfajor de chocolate blancp Felices las Vacas 60 grs,1230.63,,,,,,Felices las Vacas
2025-07-13,Alfajor Maicena Felices Las Vacas 60g,Alfajor Felices Las Vacas de maicena 60 g.,847.2,,,,,,Felices las Vacas
2025-07-13,Alfajor Maní Felices Las Vacas 60g,Alfajor Felices Las Vacas de maní 60 g.,1231.2,,,,,,Felices las Vacas
2025-07-13,Alfajor Membrillo Felices Las Vacas 60g,Alfajor de membrillo Felices las Vacas 60 grs,1230.63,,,,,,Felices las Vacas
2025-07-13,Bombón Felices Las Vacas Relleno 48g,Bombón Felices Las Vacas relleno 48 g.,999.2,,,,,,Felices las Vacas
2025-07-13,Cremoso Vegano Felices Las Vacas 500g,Cremoso vegano Felices Las Vacas 500 g.,5271.2,5690.0,6589.0,,,,Felices las Vacas
2025-07-13,Dulce de Almendras Colonial Felices Las Vacas 250g,Dulce de almendras colonial Felices las vacas 250 g.,1800.0,2150.0,,,,,Felices las Vacas
2025-07-13,Fetas Veganas Sabor Danbo Felices Las Vacas 200g,Fetas veganas Felices Las Vacas sabor danbo 200 g.,2015.2,,2519.0,,,,Felices las Vacas
2025-07-13,Hummus Garbanzo Felices Las Vacas 220-230g,Hummus vegano Felices Las Vacas 230 g.,2688.0,,,,,,Felices las Vacas
2025-07-13,Hummus Garbanzo Felices Las Vacas con Palta 220g,Hummus de garbanzo Felices las vacas con palta 220 g.,2392.0,,,,,,Felices las Vacas
2025-07-13,Medallón Arveja Chickenvil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas chickenvil party 2 uni,2223.2,,,,,,Felices las Vacas
2025-07-13,Medallón Arveja Chickenvil Party Felices Las Vacas 4uni,Medallón de arveja Felices las Vacas chickenvil party 4 uni,5031.2,,,,,,Felices las Vacas
2025-07-13,Medallón Arveja Karnevil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas karnevil party 2 uni,1831.2,,,,,,Felices las Vacas
2025-07-13,Medallón Arveja Karnevil Party Felices Las Vacas 4uni,Medallón de arveja Felices las Vacas karnevil party 4 uni,4007.2,,,,,,Felices las Vacas
2025-07-13,Medallón Soja Big Classic Felices Las Vacas 2uni,Medallón de soja Felices las Vacas big classic 2 uni,2271.2,,,,,,Felices las Vacas
2025-07-13,Milanesa Arveja Sabor Carne Felices Las Vacas 2uni,Milanesa a base de arveja Felices las Vacas sabor carne 2 uni,2780.0,,,,,,Felices las Vacas
2025-07-13,Muzzalmendra Vegana Felices Las Vacas 500g,Muzzalmendra 500 Gr Felices Las Vacas,4871.2,6400.0,6089.0,,4062.5,,Felices las Vacas
2025-07-13,Pasta Vegana Sabor Provolone Felices Las Vacas 250g,Pasta vegana Felices Las Vacas sabor provolone 250 g.,3748.0,3990.0,4685.0,,,,Felices las Vacas
2025-07-13,Postre Plant Based Chocolate Felices Las Vacas 125g,Postre plant ba de chocolate Felices las Vacas 125 g.,1199.2,1450.0,,,,,Felices las Vacas
2025-07-13,Postre Plant Based Dulce de Leche Felices Las Vacas 125g,Postre plant bas de dulce de leche Felices las Vacas 125 g.,1160.0,1350.0,,,,,Felices las Vacas
2025-07-13,Queso Almendra Oliva Muzzoliva Felices Las Vacas 500g,Queso Vegano Muzzoliva Felices Las Vacas 500g,6712.0,,7625.0,,,,Felices las Vacas
2025-07-13,Queso Vegano Cheddar Fetas Felices Las Vacas 150g,Queso Vegano Cheddar En Fetas Felices Las Vacas 150g,1927.2,,2409.0,,,,Felices las Vacas
2025-07-13,Queso Vegano Hebras Mix de Quesos Felices Las Vacas 150g,Queso Vegano En Hebras Mix De Quesos Felices Las Vacas 150g,,,3515.0,,,,Felices las Vacas
2025-07-13,Queso Vegano Hebras Reggianito Felices Las Vacas 150g,Queso Vegano En Hebras Reggianito Felices Las Vacas 150g,,,3379.0,,,,Felices las Vacas
2025-07-13,Untable Almendras Clásico Felices Las Vacas 200g,Alimento A Base De Almendra Untable Tradicional 200 Gr Felices Las Vacas,1983.2,,,,1690.0,,Felices las Vacas
2025-07-13,Untable Almendras Finas Hierbas Felices Las Vacas 200g,Alim Base Alm Unt Felices Las Vacas F.hierbas 200g,2263.2,,,,2600.0,,Felices las Vacas
2025-07-13,Untable Almendras Tipo Cheddar Felices Las Vacas 200g,Alim Base Alm Unt Felices Las Vacas Cheddar 200g,,,,,2600.0,,Felices las Vacas
2025-07-13,Yogur Almendras Neutro Felices Las Vacas 170g,Jogurtti neutro base de almendras 170 g.,1511.2,,,,,,Felices las Vacas
2025-07-13,Yogur Almendras Vainilla Felices Las Vacas 170g,Jogurtti vainilla base de almendras Felices las vacas 170 g.,1412.0,,,,,,Felices las Vacas
2025-07-13,Yogur Plant Based Frutos Rojos Felices Las Vacas 125g,Yogur plant bas colchón de frutos rojos Felices las Vacas 125 g.,1311.2,,,,,,Felices las Vacas
2025-07-13,Yogur Plant Based Mango Maracuyá Felices Las Vacas 125g,Yogur plant bas colchón mango y maracuya Felices las Vacas 125 g.,1325.0,,,,,,Felices las Vacas
2025-07-14,Alfajor Chocolate Blanco Felices Las Vacas 60g,Alfajor de chocolate blancp Felices las Vacas 60 grs,1538.29,,,,,,Felices las Vacas
2025-07-14,Alfajor Maicena Felices Las Vacas 60g,Alfajor Felices Las Vacas de maicena 60 g.,1059.0,,,,,,Felices las Vacas
